agent-action,agent-action-update,map-update,reward,sum
215,122,69,48,454
206,126,67,43,442
216,120,70,48,454
209,125,70,43,447
209,121,74,50,454
211,123,71,51,456
208,123,69,44,444
212,121,68,48,449
210,125,67,43,445
211,128,71,53,463
213,124,71,43,451
213,120,72,51,456
214,131,75,50,470
227,130,75,49,481
230,130,74,49,483
223,129,73,50,475
226,133,77,51,487
228,134,74,49,485
235,135,76,53,499
226,124,76,47,473
208,124,71,48,451
211,121,69,43,444
217,127,74,44,462
212,119,70,47,448
209,119,74,46,448
211,128,72,44,455
209,118,72,51,450
210,124,71,44,449
210,119,73,44,446
206,130,72,46,454
209,119,74,46,448
214,122,72,45,453
206,123,73,45,447
