agent-action,agent-action-update,map-update,agent-reward,step
175.276,234.589,70.392,67.528,806.652
133.752,229.178,69.984,67.362,758.354
190.627,170.726,70.305,68.075,755.96
186.444,174.723,72.508,68.449,775.084
190.974,170.565,71.311,67.56,761.333
175.865,252.827,71.318,68.873,831.537
136.856,230.903,71.403,68.728,768.276
133.744,229.393,70.422,68.026,759.722
195.238,171.103,70.676,69.019,763.649
190.836,170.866,71.077,68.187,758.074
185.458,171.45,71.811,68.112,754.516
181.757,171.137,70.226,67.907,749.969
174.366,233.135,72.254,68.913,815.571
153.555,241.026,70.585,69.752,813.842
133.678,231.961,69.784,68.25,760.851
193.816,170.016,72.348,69.051,762.73
233.04,178.053,71.194,69.805,827.952
187.288,190.09,81.732,79.071,811.955
212.912,186.36,77.922,75.082,830.052
185.186,255.304,78.119,74.416,863.963
195.309,171.94,70.791,68.391,765.639
185.146,172.345,72.189,69.111,761.278
178.648,192.247,78.42,75.886,788.153
192.364,239.388,79.902,78.254,871.358
202.619,172.104,72.065,68.453,774.23
187.034,172.084,81.185,78.681,787.948
211.954,185.308,72.381,69.031,816.497
202.163,267.216,71.345,69.08,884.383
233.165,173.65,72.565,69.236,816.617
192.406,171.278,71.573,68.851,763.778
186.022,172.066,71.745,68.623,759.64
183.113,171.49,71.309,68.72,755.036
179.353,234.395,72.902,67.185,812.802
133.493,228.013,70.818,67.693,758.043
133.412,228.569,69.634,67.384,760.645
194.706,168.976,70.219,67.619,758.681
189.307,171.554,70.92,67.895,756.709
185.726,171.208,71.057,67.459,752.986
178.093,171.032,71.701,67.459,747.277
170.863,228.889,71.351,67.556,797.677
188.544,170.633,71.009,67.611,755.859
184.869,170.414,69.805,68.413,752.726
178.147,169.543,70.539,68.3,742.944
172.668,229.503,71.082,67.597,801.027
133.877,230.621,70.719,68.131,761.431
190.354,169.937,70.926,67.279,756.155
183.902,169.386,69.868,68.186,749.391
180.156,170.857,71.59,68.615,750.059
171.672,230.138,69.833,67.746,798.119
195.331,169.803,71.126,67.977,759.92
189.182,169.044,69.268,68.546,752.699
189.531,170.305,71.376,68.582,759.195
181.889,169.06,70.45,68.497,747.159
176.268,233.807,69.457,67.885,805.037
132.736,229.21,70.786,68.256,759.159
134.513,231.002,71.226,68.083,763.478
194.295,169.776,71.073,67.99,758.424
187.981,170.989,70.012,68.135,755.394
181.816,169.235,69.889,68.08,746.652
175.503,233.181,71.345,71.174,810.429
134.052,230.284,72.44,68.332,762.897
194.315,170.326,69.811,67.854,763.134
187.065,170.392,71.486,67.809,753.697
184.184,171.093,71.1,69.978,754.337
176.182,234.301,70.431,68.289,807.5
134.162,230.228,69.741,68.771,759.991
132.755,230.735,69.957,67.811,757.015
197.785,168.197,73.105,67.133,759.361
186.842,169.581,70.228,66.694,750.769
184.799,167.626,70.045,67.862,749.046
179.272,168.624,70.156,67.051,742.906
176.8,238.073,71.321,67.349,812.037
133.617,227.971,68.702,67.077,755.818
196.326,167.901,70.215,67.135,755.872
187.851,168.161,70.7,67.531,753.053
185.299,170.726,77.385,69.34,763.726
178.155,176.269,69.866,67.406,753.714
174.879,231.143,71.877,67.733,806.769
133.547,230.582,69.897,68.444,759.179
194.638,169.769,70.264,67.745,757.807
190.273,169.207,69.803,68.653,755.586
203.189,182.527,71.342,67.98,784.362
181.937,169.263,70.953,68.826,748.489
175.57,232.366,71.568,67.585,805.864
134.371,230.501,70.933,68.41,760.103
131.575,232.111,70.735,67.429,758.605
192.823,169.05,70.035,68.691,757.595
186.591,170.358,70.387,68.046,752.561
180.91,169.455,71.836,68.926,751.757
174.634,232.409,69.735,67.871,801.346
131.83,229.476,71.815,68.491,759.641
134.248,229.179,70.255,68.104,758.081
189.318,168.924,71.6,68.113,754.273
184.498,169.299,69.167,67.886,747.641
178.009,168.634,72.433,68.437,745.947
172.699,228.979,70.551,67.56,797.065
193.009,169.216,72.656,68.867,758.961
191.386,168.553,69.379,70.153,756.883
186.604,170.155,71.928,68.364,753.776
181.624,168.784,70.003,67.701,746.646
175.956,232.142,72.233,68.009,806.205
132.112,230.403,70.392,67.75,757.849
133.738,229.84,73.533,66.979,763.429
193.349,168.642,71.425,67.168,758.204
188.555,169.441,71.069,67.14,752.911
185.983,168.611,70.452,67.162,749.632
176.768,169.473,71.583,67.322,742.629
171.888,228.404,70.431,67.726,797.493
189.827,169.722,70.572,67.25,756.289
184.772,170.273,70.182,67.436,751.271
176.686,171.186,70.413,67.329,745.23
172.215,229.566,70.226,67.275,796.924
133.104,230.571,70.101,67.585,758.149
188.851,170.177,70.834,67.973,756.336
182.995,169.257,71.931,67.621,749.824
180.739,169.367,71.481,67.714,746.085
172.908,231.671,71.147,67.686,802.177
133.48,231.483,71.184,67.74,762.749
197.499,173.848,71.32,68.095,769.892
190.776,170.559,76.561,68.902,762.149
186.405,172.112,70.603,68.57,754.779
179.704,170.866,71.066,68.336,747.22
174.062,235.495,71.748,68.512,810.6
134.04,234.458,70.475,67.771,764.852
192.229,172.905,71.922,68.213,760.899
185.5,171.942,69.822,67.748,752.655
182.657,172.257,71.693,68.041,753.139
175.498,233.429,69.965,68.16,805.81
132.185,234.452,72.536,68.157,766.912
132.854,230.344,70.261,68.399,758.973
194.743,171.586,72.019,68.072,761.031
189.295,170.787,71.344,68.244,757.722
184.046,170.868,70.212,67.652,749.878
177.587,168.643,69.657,67.833,741.032
173.525,232.817,69.557,68.084,801.15
193.942,170.841,70.218,67.609,756.06
191.639,172.621,70.362,68.029,758.169
185.846,171.087,72.476,67.434,755.785
179.769,171.979,70.471,67.158,746.908
173.449,231.56,69.566,67.275,799.852
132.966,232.78,69.394,67.124,757.969
131.577,226.863,71.244,67.246,753.64
187.105,170.237,70.497,66.85,751.99
184.406,168.717,72.813,67.802,751.653
177.073,171.097,70.49,67.57,745.798
173.006,229.751,71.699,67.681,800.002
190.519,172.758,71.1,67.453,758.435
187.332,172.649,70.698,67.561,755.105
180.964,170.606,70.504,67.529,747.147
176.5,233.562,70.941,67.807,807.706
132.823,231.257,70.719,67.941,760.448
132.598,264.727,72.684,68.617,805.195
195.825,170.557,72.076,68.28,765.451
191.631,170.799,69.735,67.598,755.949
185.786,169.753,70.188,68.39,752.723
180.308,172.998,71.363,70.656,758.515
208.812,171.635,70.992,68.249,819.238
190.209,171.326,71.929,68.154,758.215
187.801,170.647,71.267,68.148,756.422
177.36,171.526,70.693,68.01,747.259
171.932,230.199,70.559,67.771,799.971
188.159,170.486,71.156,68.372,756.132
187.498,169.875,70.473,68.233,754.42
177.051,169.43,70.923,68.039,743.295
173.731,231.93,70.467,67.956,802.714
195.064,169.997,71.018,68.204,759.341
189.847,169.787,70.518,67.849,756.773
185.133,169.305,69.685,68.067,749.576
179.268,170.071,71.906,68.084,746.312
174.032,230.399,70.073,68.385,802.665
132.884,230.788,70.903,68.039,760.505
194.46,169.408,70.417,68.48,757.085
190.926,170.473,71.297,67.998,757.889
185.682,172.226,70.998,67.839,754.359
178.571,169.718,69.494,67.193,742.117
169.914,227.433,71.769,67.306,794.789
189.098,169.109,70.098,67.877,753.595
185.469,170.038,71.726,67.611,754.116
179.072,170.294,70.522,68.267,745.969
171.386,234.452,70.526,67.541,804.591
193.465,169.737,71.279,67.606,757.378
185.192,169.202,71.181,67.603,752.661
182.023,169.384,71.873,68.186,750.11
175.285,232.294,69.244,67.466,801.684
133.96,230.347,71.013,67.934,761.751
133.179,229.038,70.215,67.921,759.05
196.731,169.438,71.16,67.98,762.676
220.929,183.233,69.547,68.936,816.288
199.596,178.736,72.987,68.261,785.621
181.016,170.075,70.559,69.224,754.803
179.871,170.921,70.772,69.171,784.922
188.932,170.658,72.237,69.794,759.737
186.109,180.785,78.861,72.477,781.123
198.241,185.776,79.132,72.595,808.963
171.029,232.496,71.368,68.28,803.383
194.195,170.944,70.167,70.768,770.242
227.14,186.913,104.643,70.753,866.915
182.857,180.538,73.776,71.609,781.729
182.049,234.806,71.821,71.371,823.524
201.123,176.443,73.929,71.915,789.404
192.059,171.975,72.993,73.221,775.772
196.344,178.235,71.671,68.429,775.931
183.964,239.919,71.605,68.797,829.119
135.574,242.282,73.496,72.018,787.983
139.854,244.526,73.992,71.702,799.307
208.164,178.499,72.892,71.841,797.091
201.151,179.006,73.002,72.677,792.51
203.251,174.986,74.593,73.978,796.523
193.289,176.85,74.146,71.625,784.39
177.494,246.779,74.843,71.058,838.577
138.464,243.446,74.579,73.434,797.969
138.514,307.43,82.862,74.318,886.542
237.645,201.665,83.831,72.1,880.7
204.564,177.125,72.482,69.115,791.476
183.009,183.174,80.52,76.842,794.591
177.889,243.297,73.997,69.619,822.322
134.05,261.453,83.91,74.566,818.496
212.427,176.325,74.138,69.915,792.306
197.322,224.021,89.664,75.012,862.842
196.434,177.507,81.862,79.297,809.715
201.853,235.213,69.846,68.55,835.91
139.29,237.483,73.947,69.629,791.507
135.636,231.059,71.433,69.058,767.383
195.07,172.763,71.808,69.463,770.153
188.466,171.598,71.359,69.422,760.729
184.276,173.843,72.511,68.751,760.087
181.356,171.602,71.602,69.939,761.032
181.283,232.977,71.894,68.592,817.571
134.638,229.993,72.769,68.289,766.2
195.038,172.007,72.821,68.304,768.812
192.028,191.899,73.756,70.596,808.703
219.284,173.353,69.968,68.603,791.15
186.53,193.568,71.853,68.959,780.687
172.802,273.181,74.331,69.24,847.681
190.823,185.868,79.743,76.026,802.749
188.024,174.253,73.107,68.82,757.607
182.301,172.84,70.926,68.726,747.936
182.348,234.7,72.73,68.815,812.926
197.223,171.401,69.839,69.055,757.138
191.16,172.711,71.1,68.645,754.843
187.437,170.954,70.698,68.879,749.331
181.015,172.872,70.551,68.715,745.218
177.662,237.212,71.452,69.723,811.17
134.124,232.833,74.063,67.165,763.187
194.253,168.15,70.211,67.267,750.404
191.598,170.077,70.504,67.551,750.121
185.808,169.562,71.036,67.869,745.785
181.027,169.435,69.566,67.231,736.464
174.929,232.684,69.864,68.322,797.135
134.838,232.773,71.659,67.805,757.023
191.33,169.39,70.912,67.845,747.972
186.457,171.061,69.734,68.29,746.381
182.37,169.635,70.884,67.473,739.851
174.755,231.515,69.474,67.833,793.12
133.703,230.803,71.272,67.776,754.414
192.765,171.153,73.897,68.554,756.513
187.396,170.311,70.846,68.086,746.356
182.247,170.251,70.285,67.757,739.864
